season,team,win_total,source_url
2014,Arizona Diamondbacks,81.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Atlanta Braves,87.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Baltimore Orioles,81.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Boston Red Sox,88,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Chicago Cubs,70,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Chicago White Sox,76.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Cincinnati Reds,84.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Cleveland Indians,80.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Colorado Rockies,76.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Detroit Tigers,90,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Houston Astros,62.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Kansas City Royals,82,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Los Angeles Angels,86.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Los Angeles Dodgers,92.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Miami Marlins,69.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Milwaukee Brewers,80,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Minnesota Twins,70.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,New York Mets,74,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,New York Yankees,87,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Oakland Athletics,88.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Philadelphia Phillies,76.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,Pittsburgh Pirates,84.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,San Diego Padres,79,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
2014,San Francisco Giants,86.5,http://web.archive.org/web/20210818170614/https://www.sportsoddshistory.com/mlb-win/?y=2014&sa=mlb&t=win&o=e
